POS; SEXO; DOR; NOMBRE; CLUB; P_CAT; CATEG; TIEMPO
1; ;18;MARCOS LOPEZ GALERA;CATOLICA DE MURCIA;1;MAS;01:32:42.128
2; ;40;PEDRO DE LA TORRE LLOBREGAT;MIGUEL HERNANDEZ(ELCHE);2;MAS;01:33:53.512
3; ;49;JAUME MIRANDA ARIMANY;POLITECNICA DE CATALUNYA;3;MAS;01:38:18.941
4; ;85;FRANCISCO JAVIER TEJONERO VALDES;UNIVERSIDAD DE GRANADA;4;MAS;01:40:52.692
5; ;69;ADRIAN LOSARCOS MARCO;PUBLICA DE NAVARRA;5;MAS;01:43:27.559
6; ;57;GUILLERMO BALLESTEROS BASELGA;POLITECNICA DE VALENCIA;6;MAS;01:44:02.322
7; ;32;MARIO WERTHER ASUNCION MATIAS;JAUME I DE CASTELLO;7;MAS;01:44:32.986
8; ;17;MANUEL FILGAIRA HERRERA;CATOLICA DE MURCIA;8;MAS;01:44:35.145
9; ;62;JAVIER RADA RODRIGUEZ;POLITECNICA DE VALENCIA;9;MAS;01:45:35.569
10; ;83;MIGUEL PEREZ GARCIA;UNIVERSIDAD DE GRANADA;10;MAS;01:46:00.562
11; ;53;DANIEL ELORZ RUIZ;POLITECNICA DE MADRID;11;MAS;01:46:32.071
12; ;26;RAMON PUJOL CASELLAS;GIRONA;12;MAS;01:46:54.294
13; ;20;MIGUEL IBAÑEZ TEJEDOR;CATOLICA VALENCIA S. VICENTE MARTIR;13;MAS;01:47:03.799
14; ;6;JAVIER MARCO SILES;ALICANTE;14;MAS;01:47:12.752
15; ;61;HUGO ORTIZ KATAOKA;POLITECNICA DE VALENCIA;15;MAS;01:48:54.612
16; ;82;MIGUEL ANGEL MAZA SANTAELLA;UNIVERSIDAD DE GRANADA;16;MAS;01:49:05.876
17; ;44;MARIO FERNANDEZ MOROTE;MURCIA;17;MAS;01:50:05.836
18; ;71;OLEGUER COMERMA FALGUERAS;RAMON LLULL;18;MAS;01:50:19.491
19; ;87;ARNAU AMOROS MARTINEZ;VALENCIA;19;MAS;01:51:23.427
20; ;35;ALEIX QUEROL ARMENGOT;JAUME I DE CASTELLO;20;MAS;01:52:02.777
21; ;92;MARCOS LUQUE CABELLO;VALENCIA;21;MAS;01:52:55.753
22; ;94;MIGUEL RODRIGUEZ SANCHEZ;VALENCIA;22;MAS;01:53:42.440
23;1;15;ISABEL MARGARITA CALERO GARAU;CATOLICA DE MURCIA;1;FEM;01:54:04.667
24;2;19;LAIA MONTOYA GARCIA;CATOLICA DE MURCIA;2;FEM;01:54:05.371
25; ;88;DAVID COLLADO CHAZARRA;VALENCIA;23;MAS;01:54:26.120
26; ;21;SANTIAGO TOLEDO RODRIGUEZ;CATOLICA VALENCIA S. VICENTE MARTIR;24;MAS;01:55:36.274
27; ;10;FRANCESC ROMEU ASUNCION MATIAS;CARDENAL HERRERA-CEU;25;MAS;01:56:07.972
28; ;74;ISAAC MENENDEZ SUAREZ;SALAMANCA;26;MAS;01:56:14.602
29; ;11;ROBIN COUTENCEAU;CARDENAL HERRERA-CEU;27;MAS;01:56:40.663
30; ;66;BRUNO ALONSO RUPEREZ;PUBLICA DE NAVARRA;28;MAS;01:58:53.766
31; ;70;MARIO SANTOS GARCIA;PUBLICA DE NAVARRA;29;MAS;01:58:54.454
32; ;54;TEO PEREZ ARCHILLA;POLITECNICA DE MADRID;30;MAS;01:59:05.857
33; ;33;PAU FARRAN BONET;JAUME I DE CASTELLO;31;MAS;02:00:07.633
34;3;84;ANDREA RICO GONZALEZ;UNIVERSIDAD DE GRANADA;3;FEM;02:00:15.022
35;4;86;JUANA MONTAÑO GARCIA;PONTIFICIA DE SALAMANCA;4;FEM;02:01:26.872
36; ;4;SERGIO CERDA SAHUQUILLO;ALICANTE;32;MAS;02:03:02.836
37; ;58;ANTONIO ESCORIHUELA COLUBI;POLITECNICA DE VALENCIA;33;MAS;02:03:06.474
38; ;46;FRANCISCO JOSE RUIZ MARTINEZ;MURCIA;34;MAS;02:03:34.196
39; ;91;JAVIER LUJAN PEREZ;VALENCIA;35;MAS;02:03:37.817
40; ;67;MIKEL ESTERUELAS FURTADO;PUBLICA DE NAVARRA;36;MAS;02:03:59.899
41;5;51;CELIA CALDERON SANTAMARIA;POLITECNICA DE MADRID;5;FEM;02:04:35.269
42; ;5;AARON CORCOLES SAN MARTIN;ALICANTE;37;MAS;02:09:20.826
43; ;90;ORIOL LLACER HERNANDEZ;VALENCIA;38;MAS;02:09:21.487
44; ;41;TOMAS FUENTES VIÑEGLA;MIGUEL HERNANDEZ(ELCHE);39;MAS;02:09:30.481
45; ;60;MARC MORANT BARBERA;POLITECNICA DE VALENCIA;40;MAS;02:09:40.868
46; ;76;MIKEL ARMAÑANZAS SAYES;SAN JORGE;41;MAS;02:10:31.774
47; ;80;JAIME ESPIN RODRIGUEZ;UNIVERSIDAD DE GRANADA;42;MAS;02:11:48.391
48;6;77;AIARA GARAIALDE DE ZEBERIO;SAN JORGE;6;FEM;02:12:07.656
49;7;96;JARA PEREZ ARCHILLA;VALLADOLID;7;FEM;02:12:30.166
50; ;1;VICTOR DUBOIS;ALFONSO X EL SABIO;43;MAS;02:13:03.611
51; ;68;NIKOL GOROSTIETA OLORON;PUBLICA DE NAVARRA;44;MAS;02:13:20.012
52;8;81;SARA IZQUIERDO SANCHEZ;UNIVERSIDAD DE GRANADA;8;FEM;02:15:06.600
53;9;27;MIRIAM RECASENS SANCHEZ;GIRONA;9;FEM;02:16:31.029
54; ;73;DARIO FRANCO RUANO;SALAMANCA;45;MAS;02:16:41.687
55; ;55;JAIME TORRES ROLDAN;POLITECNICA DE MADRID;46;MAS;02:19:09.394
56; ;78;YACME RUBIO CALVO;SAN JORGE;47;MAS;02:19:10.534
57; ;48;MAURO MARTINEZ DIAZ-CANEJA;NACIONAL A DISTANCIA;48;MAS;02:19:17.971
58; ;45;CARLOS GARCIA LOPEZ;MURCIA;49;MAS;02:20:22.297
59; ;43;MANUEL PAREJA AROCA;MIGUEL HERNANDEZ(ELCHE);50;MAS;02:20:42.834
